FROM | (68.64, 122.83) to (97.51, 132.71)
GOSP-4. | (2664.24, 241.11) to (2709.59, 252.28)
15LL0P12 | (626.4, 329.79) to (663.2, 339.96)
6"x4" | (475.2, 340.11) to (494.0, 350.28)
15NX0P | (438.96, 368.19) to (469.01, 378.36)
15LL0P12 | (487.2, 368.43) to (524.0, 378.6)
2" | (1198.08, 384.03) to (1205.68, 394.2)
1 | (1846.08, 383.55) to (1850.72, 393.72)
mm/100 | (1852.8, 383.31) to (1887.92, 395.99)
mm | (1889.76, 383.31) to (1903.43, 393.48)
SLOPE | (1811.28, 389.23) to (1844.03, 399.11)
LC | (1195.92, 407.31) to (1206.58, 417.48)
4" | (2173.2, 406.99) to (2182.23, 416.87)
x | (2184.96, 406.99) to (2189.9, 416.87)
0.237" | (2192.4, 406.99) to (2220.63, 416.87)
WTH | (2223.36, 406.99) to (2246.34, 416.87)
ASTM | (2183.04, 418.03) to (2210.23, 427.91)
B444 | (2212.8, 418.03) to (2236.06, 427.91)
UNS | (2167.92, 429.07) to (2188.43, 438.95)
N06625 | (2191.2, 429.07) to (2225.74, 438.95)
GR | (2228.4, 429.07) to (2243.22, 438.95)
1 | (2245.68, 429.07) to (2251.17, 438.95)
4" | (303.36, 436.03) to (312.39, 445.91)
x | (315.12, 436.03) to (320.06, 445.91)
0.337" | (322.56, 436.03) to (350.79, 445.91)
WTH | (353.52, 436.03) to (376.49, 445.91)
D | (1108.32, 439.15) to (1115.46, 449.03)
ASTM | (313.2, 447.07) to (340.39, 456.95)
B444 | (342.96, 447.07) to (366.21, 456.95)
UNS | (298.08, 458.11) to (318.59, 467.99)
N06625 | (321.36, 458.11) to (355.89, 467.99)
GR | (358.56, 458.11) to (373.37, 467.99)
1 | (375.84, 458.11) to (381.33, 467.99)
6"x4" | (475.2, 483.15) to (494.0, 493.32)
15NX0P | (436.32, 511.47) to (466.37, 521.64)
15LL0P12 | (488.88, 511.47) to (525.68, 521.64)
6"x4" | (475.2, 625.95) to (494.0, 636.12)
4"-P-1018-15NX0P | (302.88, 632.28) to (388.19, 644.1)
15NX0P | (436.56, 655.47) to (466.61, 665.64)
15LL0P12 | (487.44, 656.43) to (524.24, 666.6)
1"-C-8003-15NX0P | (2207.04, 674.76) to (2292.83, 686.58)
1" | (2214.0, 694.75) to (2223.03, 704.63)
x | (2225.76, 694.75) to (2230.7, 704.63)
0.179" | (2233.2, 694.75) to (2261.43, 704.63)
WTH | (2264.16, 694.75) to (2287.14, 704.63)
4"-P-1010-15NX0P | (302.88, 703.08) to (388.19, 714.9)
ASTM | (2223.84, 705.55) to (2251.03, 715.43)
B444 | (2253.6, 705.55) to (2276.86, 715.43)
UNS | (2208.72, 716.59) to (2229.23, 726.47)
N06625 | (2232.0, 716.59) to (2266.54, 726.47)
GR | (2269.2, 716.59) to (2284.02, 726.47)
1 | (2286.48, 716.59) to (2291.98, 726.47)
HH | (1640.16, 726.19) to (1654.26, 736.07)
SET | (1656.72, 726.19) to (1675.96, 736.07)
@ | (1678.8, 726.19) to (1688.83, 736.07)
623.00 | (1690.8, 726.19) to (1721.02, 736.07)
PSIG | (1723.68, 726.19) to (1746.97, 736.07)
HH | (1804.32, 725.71) to (1818.42, 735.59)
SET | (1820.88, 725.71) to (1840.12, 735.59)
@ | (1842.96, 725.71) to (1852.99, 735.59)
623.00 | (1854.96, 725.71) to (1885.18, 735.59)
PSIG | (1887.84, 725.71) to (1911.13, 735.59)
HH | (1973.28, 725.23) to (1987.38, 735.11)
SET | (1989.84, 725.23) to (2009.08, 735.11)
@ | (2011.92, 725.23) to (2021.95, 735.11)
623.00 | (2023.92, 725.23) to (2054.14, 735.11)
PSIG | (2056.8, 725.23) to (2080.09, 735.11)
6"x4" | (475.2, 771.15) to (494.0, 781.32)
4"-P-1020-15NX0P | (302.88, 776.28) to (388.19, 788.1)
15NX0P | (437.52, 799.23) to (467.57, 809.4)
15LL0P12 | (488.4, 799.71) to (525.2, 809.88)
1 | (985.68, 843.39) to (990.32, 853.56)
mm/100 | (992.4, 843.15) to (1027.52, 855.83)
mm | (1029.36, 843.15) to (1043.03, 853.32)
SLOPE | (950.88, 849.07) to (983.63, 858.95)
15NX0P | (2136.96, 894.99) to (2167.01, 905.16)
1" | (2124.96, 937.47) to (2132.56, 947.64)
LO | (2149.68, 937.71) to (2160.81, 947.88)
1" | (1634.16, 956.91) to (1641.76, 967.08)
4" | (1389.12, 961.47) to (1396.72, 971.64)
2010 | (562.8, 1032.43) to (584.85, 1042.31)
6"x4" | (611.28, 1062.27) to (630.08, 1072.44)
TSO | (1555.2, 1081.47) to (1572.01, 1091.64)
15LL0P12 | (545.04, 1128.03) to (581.84, 1138.2)
1" | (1772.88, 1143.39) to (1780.48, 1153.56)
1 | (985.68, 1150.59) to (990.32, 1160.76)
mm/100 | (992.4, 1150.35) to (1027.52, 1163.04)
mm | (1029.36, 1150.35) to (1043.03, 1160.52)
SLOPE | (950.88, 1156.51) to (983.63, 1166.4)
6"x4" | (475.2, 1275.39) to (494.0, 1285.56)
15NX0P | (440.16, 1303.95) to (470.21, 1314.12)
15LL0P12 | (487.92, 1303.95) to (524.72, 1314.12)
1NX0P | (2144.16, 1328.67) to (2169.65, 1338.84)
4"-P-1007-15NX0P | (302.4, 1350.84) to (387.71, 1362.66)
15NX0P | (586.32, 1410.99) to (616.37, 1421.16)
6"x4" | (475.2, 1418.19) to (494.0, 1428.36)
15NX0P | (437.04, 1447.95) to (467.09, 1458.12)
15LL0P12 | (487.92, 1448.19) to (524.72, 1458.36)
4"-P-1005-15NX0P | (302.64, 1495.32) to (387.95, 1507.14)
CA-907104-001 | (2720.88, 1537.47) to (2768.67, 1545.94)
15NX0P | (583.68, 1553.31) to (613.73, 1563.48)
15LL0P12 | (628.08, 1553.31) to (664.88, 1563.48)
CA-282127 | (2720.88, 1550.91) to (2755.23, 1559.38)
6"x4" | (475.2, 1563.15) to (494.0, 1573.32)
CD-282102 | (2720.88, 1565.79) to (2755.71, 1574.26)
CD-907285-907296 | (2720.88, 1580.67) to (2780.43, 1589.14)
15NX0P | (440.88, 1592.19) to (470.93, 1602.36)
15LL0P12 | (486.96, 1592.67) to (523.76, 1602.84)
SYMBOLS | (2445.12, 1593.9) to (2478.44, 1602.59)
AND | (2479.92, 1593.9) to (2494.43, 1602.59)
LEGEND | (2496.01, 1593.9) to (2524.19, 1602.59)
CA-907105-001 | (2720.64, 1594.11) to (2768.43, 1602.58)
1" | (1581.36, 1654.11) to (1588.96, 1664.28)
15NX0P | (584.88, 1697.55) to (614.93, 1707.72)
15LL0P12 | (627.36, 1697.55) to (664.16, 1707.72)
6"x4" | (475.2, 1706.91) to (494.0, 1717.08)
15NX0P | (439.92, 1736.43) to (469.97, 1746.6)
15LL0P12 | (486.72, 1736.43) to (523.52, 1746.6)
15NX0P | (582.96, 1840.59) to (613.01, 1850.76)
15LL0P12 | (628.08, 1840.59) to (664.88, 1850.76)
6"x4" | (475.2, 1850.67) to (494.0, 1860.84)
15NX0P | (439.2, 1880.19) to (469.25, 1890.36)
15LL0P12 | (488.16, 1879.95) to (524.96, 1890.12)
8002 | (1560.67, 1247.55) to (1570.56, 1269.6)
P | (1560.67, 1277.65) to (1570.56, 1284.24)
P | (1572.76, 1250.82) to (1582.92, 1256.4)
0 | (1572.76, 1256.31) to (1582.92, 1260.96)
X | (1572.76, 1260.66) to (1582.92, 1266.24)
N | (1572.76, 1265.72) to (1582.92, 1271.76)
5 | (1572.76, 1271.67) to (1582.92, 1276.32)
1 | (1572.76, 1276.23) to (1582.92, 1280.88)
P | (1573.96, 1303.38) to (1584.12, 1308.96)
0 | (1573.96, 1308.63) to (1584.12, 1313.28)
X | (1573.96, 1312.98) to (1584.12, 1318.56)
N | (1573.96, 1318.28) to (1584.12, 1324.32)
1 | (1573.96, 1324.23) to (1584.12, 1328.88)
0105 | (1560.19, 1298.67) to (1570.08, 1320.72)
SO | (1561.39, 1329.01) to (1571.28, 1343.28)
3/4"-OS-5007-15NX0P | (1989.84, 1272.84) to (2091.23, 1284.66)
1 | (2005.44, 1518.27) to (2010.08, 1528.44)
mm/100 | (2012.16, 1517.79) to (2047.28, 1530.48)
mm | (2049.12, 1517.79) to (2062.79, 1527.96)
SLOPE | (1970.64, 1523.95) to (2003.39, 1533.84)
6102 | (1566.19, 1733.31) to (1576.08, 1755.36)
P | (1566.91, 1764.61) to (1576.8, 1771.2)
P | (1583.08, 1736.1) to (1593.24, 1741.68)
0 | (1583.08, 1741.59) to (1593.24, 1746.24)
X | (1583.08, 1745.94) to (1593.24, 1751.52)
N | (1583.08, 1751.0) to (1593.24, 1757.04)
5 | (1583.08, 1756.95) to (1593.24, 1761.6)
1 | (1583.08, 1761.51) to (1593.24, 1766.16)
P | (1584.76, 1794.9) to (1594.92, 1800.48)
0 | (1584.76, 1800.15) to (1594.92, 1804.8)
X | (1584.76, 1804.5) to (1594.92, 1810.08)
N | (1584.76, 1809.8) to (1594.92, 1815.84)
1 | (1584.76, 1815.75) to (1594.92, 1820.4)
1 | (2005.2, 1836.03) to (2009.84, 1846.2)
mm/100 | (2011.92, 1835.79) to (2047.04, 1848.48)
mm | (2048.88, 1835.79) to (2062.55, 1845.96)
SLOPE | (1970.4, 1841.71) to (2003.15, 1851.6)
9005 | (1565.71, 1786.83) to (1575.6, 1808.88)
SO | (1565.47, 1817.65) to (1575.36, 1831.92)
2"x1" | (1111.2, 416.19) to (1130.0, 426.36)
H | (1308.96, 610.27) to (1316.1, 620.15)
SET | (1318.56, 610.27) to (1337.8, 620.15)
@ | (1340.4, 610.27) to (1350.43, 620.15)
158.00 | (1352.64, 610.27) to (1382.86, 620.15)
°F | (1385.52, 610.27) to (1395.4, 620.15)
L | (1308.96, 636.91) to (1314.46, 646.79)
SET | (1317.12, 636.91) to (1336.12, 646.79)
@ | (1338.96, 636.91) to (1348.99, 646.79)
101.00 | (1351.2, 636.91) to (1381.42, 646.79)
°F | (1384.08, 636.91) to (1393.96, 646.79)
H | (1167.6, 660.19) to (1174.74, 670.07)
SET | (1177.2, 660.19) to (1196.44, 670.07)
@ | (1199.04, 660.19) to (1209.07, 670.07)
571.0 | (1211.28, 660.19) to (1235.98, 670.07)
PSIG | (1238.64, 660.19) to (1262.17, 670.07)
L | (1167.6, 686.35) to (1173.09, 696.23)
SET | (1175.76, 686.35) to (1194.76, 696.23)
@ | (1197.6, 686.35) to (1207.63, 696.23)
320.00 | (1209.84, 686.35) to (1240.06, 696.23)
PSIG | (1242.72, 686.35) to (1266.01, 696.23)
LL | (1640.16, 750.91) to (1651.18, 760.79)
SET | (1653.84, 750.91) to (1672.84, 760.79)
@ | (1675.68, 750.91) to (1685.71, 760.79)
285.00 | (1687.92, 750.91) to (1718.14, 760.79)
PSIG | (1720.8, 750.91) to (1744.09, 760.79)
LL | (1804.32, 751.15) to (1815.34, 761.03)
SET | (1818.0, 751.15) to (1837.0, 761.03)
@ | (1839.84, 751.15) to (1849.87, 761.03)
285.00 | (1852.08, 751.15) to (1882.3, 761.03)
PSIG | (1884.96, 751.15) to (1908.25, 761.03)
LL | (1973.28, 752.83) to (1984.3, 762.71)
SET | (1986.96, 752.83) to (2005.96, 762.71)
@ | (2008.8, 752.83) to (2018.83, 762.71)
285.00 | (2020.8, 752.83) to (2051.02, 762.71)
PSIG | (2053.68, 752.83) to (2076.97, 762.71)
-18 | (1314.48, 775.15) to (1328.62, 785.03)
- | (1331.28, 775.15) to (1334.57, 785.03)
121 | (1337.28, 775.15) to (1353.82, 785.03)
° | (1356.96, 775.15) to (1362.95, 785.03)
C | (1363.44, 775.15) to (1370.58, 785.03)
0-800 | (1178.16, 786.91) to (1203.33, 796.79)
PSIG | (1206.0, 786.91) to (1229.29, 796.79)
0.00-5515.81 | (1163.52, 800.11) to (1221.57, 809.99)
KPag | (1224.24, 800.11) to (1248.21, 809.99)
0-800 | (1799.28, 876.19) to (1824.46, 886.07)
PSIG | (1827.12, 876.19) to (1850.41, 886.07)
0-800 | (1916.88, 877.63) to (1942.06, 887.51)
PSIG | (1944.72, 877.63) to (1968.01, 887.51)
0-800 | (1598.88, 884.59) to (1624.06, 894.47)
PSIG | (1626.72, 884.59) to (1650.01, 894.47)
0.00-5515.81 | (1784.64, 888.43) to (1842.7, 898.31)
KPag | (1845.36, 888.43) to (1869.34, 898.31)
0.00-5515.81 | (1896.0, 889.39) to (1954.06, 899.27)
KPag | (1956.72, 889.39) to (1980.7, 899.27)
0.00-5515.81 | (1581.6, 898.51) to (1639.66, 908.39)
KPag | (1642.32, 898.51) to (1666.3, 908.39)
1" | (1665.84, 954.75) to (1673.44, 964.92)
1" | (1763.04, 956.91) to (1770.64, 967.08)
1" | (1869.12, 957.87) to (1876.72, 968.04)
P | (1703.08, 962.1) to (1713.24, 967.68)
P | (1789.0, 962.1) to (1799.16, 967.68)
P | (1905.64, 962.1) to (1915.8, 967.68)
LO | (1664.88, 966.51) to (1676.01, 976.68)
0 | (1703.08, 967.59) to (1713.24, 972.24)
LO | (1760.88, 967.71) to (1772.01, 977.88)
0 | (1789.0, 967.59) to (1799.16, 972.24)
LO | (1868.4, 968.67) to (1879.53, 978.84)
0 | (1905.64, 967.59) to (1915.8, 972.24)
X | (1703.08, 971.94) to (1713.24, 977.52)
X | (1789.0, 971.94) to (1799.16, 977.52)
X | (1905.64, 971.94) to (1915.8, 977.52)
N | (1703.08, 977.0) to (1713.24, 983.04)
N | (1789.0, 977.0) to (1799.16, 983.04)
N | (1905.64, 977.0) to (1915.8, 983.04)
5 | (1703.08, 982.95) to (1713.24, 987.6)
5 | (1789.0, 982.95) to (1799.16, 987.6)
5 | (1905.64, 982.95) to (1915.8, 987.6)
1 | (1703.08, 987.51) to (1713.24, 992.16)
1 | (1789.0, 987.51) to (1799.16, 992.16)
1 | (1905.64, 987.51) to (1915.8, 992.16)
15NX0P | (2005.92, 991.47) to (2035.97, 1001.64)
2" | (2078.4, 994.11) to (2086.0, 1004.28)
2" | (1480.32, 1008.03) to (1487.92, 1018.2)
2011 | (610.8, 1032.43) to (632.85, 1042.31)
P | (1881.6, 1032.91) to (1888.19, 1042.79)
2004 | (1896.24, 1032.91) to (1918.3, 1042.79)
P | (1935.6, 1032.91) to (1942.19, 1042.79)
2002 | (1947.84, 1032.91) to (1969.9, 1042.79)
15NX0P | (1884.96, 1044.99) to (1915.01, 1055.16)
15LL0P12 | (1934.4, 1043.79) to (1971.2, 1053.96)
1" | (1524.24, 1056.03) to (1531.84, 1066.2)
2" | (1795.2, 1082.43) to (1802.8, 1092.6)
2"-P-2004-15NX0P | (1875.12, 1083.0) to (1960.67, 1094.82)
2" | (1883.76, 1106.35) to (1892.79, 1116.24)
x | (1895.52, 1106.35) to (1900.46, 1116.24)
0.218"WTH | (1902.96, 1106.35) to (1954.02, 1116.24)
2"x1" | (1774.8, 1118.19) to (1793.6, 1128.36)
2"x1" | (1838.4, 1119.63) to (1857.2, 1129.8)
ASTM | (1892.4, 1117.39) to (1919.59, 1127.28)
B444 | (1922.16, 1117.39) to (1945.42, 1127.28)
UNS | (1877.28, 1128.43) to (1897.79, 1138.32)
N06625 | (1900.56, 1128.43) to (1935.1, 1138.32)
GR | (1937.76, 1128.43) to (1952.58, 1138.32)
1 | (1955.04, 1128.43) to (1960.54, 1138.32)
P | (1712.16, 1174.27) to (1718.75, 1184.16)
2004 | (1726.56, 1173.31) to (1748.62, 1183.2)
OS | (1704.96, 1191.07) to (1718.99, 1200.96)
CORROSION | (1993.92, 1225.95) to (2043.39, 1236.12)
TRANSMITTER | (1990.32, 1237.47) to (2047.47, 1247.64)
3/4" | (1998.0, 1291.63) to (2015.19, 1301.52)
x | (2017.92, 1291.63) to (2022.86, 1301.52)
0.154"WTH | (2025.36, 1291.63) to (2076.66, 1301.52)
ASTM | (2010.72, 1302.67) to (2037.91, 1312.56)
B444 | (2040.48, 1302.67) to (2063.74, 1312.56)
UNS | (1995.6, 1313.71) to (2016.11, 1323.6)
N06625 | (2018.88, 1313.71) to (2053.42, 1323.6)
GR | (2056.08, 1313.71) to (2070.9, 1323.6)
1 | (2073.36, 1313.71) to (2078.85, 1323.6)
2" | (1432.08, 1612.83) to (1439.68, 1623.0)
4" | (2187.84, 1615.87) to (2196.87, 1625.76)
x | (2199.6, 1615.87) to (2204.54, 1625.76)
0.337" | (2207.04, 1615.87) to (2235.27, 1625.76)
WTH | (2238.0, 1615.87) to (2260.98, 1625.76)
ASTM | (2197.68, 1626.67) to (2224.87, 1636.56)
B444 | (2227.44, 1626.67) to (2250.7, 1636.56)
UNS | (2182.56, 1637.71) to (2203.07, 1647.6)
N06625 | (2205.84, 1637.71) to (2240.38, 1647.6)
GR | (2243.04, 1637.71) to (2257.86, 1647.6)
1 | (2260.32, 1637.71) to (2265.81, 1647.6)
1" | (1479.84, 1658.43) to (1487.44, 1668.6)
1"x3/4" | (1564.08, 1690.83) to (1589.6, 1701.0)
4"-P-1001-15NX0P | (302.4, 1783.32) to (387.95, 1795.14)
4" | (302.88, 1803.55) to (311.91, 1813.44)
x | (314.64, 1803.55) to (319.58, 1813.44)
0.337" | (322.08, 1803.55) to (350.31, 1813.44)
WTH | (353.04, 1803.55) to (376.01, 1813.44)
ASTM | (312.72, 1814.59) to (339.91, 1824.48)
B444 | (342.48, 1814.59) to (365.73, 1824.48)
UNS | (297.6, 1825.39) to (318.11, 1835.28)
N06625 | (320.88, 1825.39) to (355.41, 1835.28)
GR | (358.08, 1825.39) to (372.89, 1835.28)
1 | (375.36, 1825.39) to (380.85, 1835.28)
ALL | (2394.72, 1895.26) to (2403.71, 1900.2)
EQUIP. | (2405.28, 1895.26) to (2422.26, 1900.2)
INSTRUMENT | (2385.84, 1900.78) to (2418.62, 1905.72)
AND | (2420.16, 1900.78) to (2430.69, 1905.72)
PIPING | (2393.76, 1906.54) to (2410.81, 1911.48)
TAG | (2412.24, 1906.54) to (2422.57, 1911.48)
NUMBERS | (2389.92, 1912.06) to (2414.82, 1917.0)
ARE | (2416.32, 1912.06) to (2426.58, 1917.0)
PROCEDED | (2389.92, 1917.82) to (2418.21, 1922.76)
BY | (2419.68, 1917.82) to (2426.34, 1922.76)
PREFIX | (2394.0, 1923.34) to (2412.18, 1928.28)
NO. | (2413.44, 1923.34) to (2422.26, 1928.28)
PLATFORM | (2386.08, 1937.98) to (2413.48, 1942.92)
PREFIX | (2414.88, 1937.98) to (2433.06, 1942.92)
NO. | (2405.04, 1943.74) to (2413.86, 1948.68)
12 | (2402.88, 1953.71) to (2418.56, 1968.11)
P | (1441.15, 985.33) to (1451.04, 991.92)
NOTES: | (2446.32, 45.43) to (2487.53, 56.39)
OS | (1221.36, 347.71) to (1235.39, 357.59)
LEGEND | (2610.72, 487.51) to (2656.07, 498.47)
PIPING | (2446.32, 503.07) to (2466.09, 511.01)
MATERIAL | (2467.68, 503.07) to (2496.69, 511.01)
INSTRUMENT | (2600.88, 506.19) to (2638.86, 514.13)
DEFINITION | (2640.48, 506.19) to (2673.36, 514.13)
& | (2674.8, 506.19) to (2678.79, 514.13)
SYMBOLS | (2680.32, 506.19) to (2708.31, 514.13)
SAES-J-003 | (2709.84, 506.19) to (2741.97, 514.13)
SPECIFICATION | (2446.32, 512.91) to (2491.2, 520.85)
SAES-L-105 | (2492.4, 512.91) to (2524.77, 520.85)
AC/AFO | (2577.36, 519.67) to (2599.53, 526.33)
-AIR | (2615.04, 519.67) to (2627.04, 526.33)
TO | (2628.72, 519.67) to (2636.97, 526.33)
CLOSE/ | (2638.56, 519.67) to (2660.39, 526.33)
VE | (2712.72, 518.95) to (2720.79, 525.61)
-VIBRATION | (2736.0, 520.63) to (2768.01, 527.29)
ELEMENT | (2769.84, 520.63) to (2796.45, 527.29)
AIR | (2619.6, 527.83) to (2629.68, 534.49)
FAILURE | (2631.36, 527.83) to (2656.23, 534.49)
OPEN | (2658.0, 527.83) to (2674.8, 534.49)
VS | (2712.72, 529.03) to (2720.79, 535.69)
-VIBRATION | (2735.52, 529.99) to (2767.77, 536.65)
SWITCH | (2769.6, 529.99) to (2791.53, 536.65)
PROCESS | (2485.92, 540.27) to (2514.39, 548.21)
LINE | (2515.92, 540.27) to (2528.79, 548.21)
AC/AFS | (2577.36, 537.43) to (2598.87, 544.09)
-AIR | (2615.28, 537.43) to (2627.28, 544.09)
TO | (2628.96, 537.43) to (2637.21, 544.09)
CLOSE/AIR | (2638.8, 537.43) to (2670.48, 544.09)
VT | (2712.72, 538.87) to (2720.46, 545.53)
-VIBRATION | (2735.52, 539.83) to (2767.77, 546.49)
TRANSMITTER | (2769.6, 539.83) to (2809.53, 546.49)
FAILURE | (2620.08, 546.31) to (2645.19, 552.97)
STEADY | (2646.72, 546.31) to (2670.63, 552.97)
XL | (2712.72, 548.71) to (2720.13, 555.37)
-PILOT | (2735.52, 548.71) to (2754.54, 555.37)
LIGHT | (2756.16, 548.71) to (2773.5, 555.37)
INSTRUMENT | (2485.44, 557.07) to (2523.42, 565.01)
AO/AFC | (2577.6, 557.35) to (2599.68, 564.01)
-AIR | (2615.52, 557.11) to (2627.52, 563.77)
TO | (2629.2, 557.11) to (2637.45, 563.77)
OPEN/ | (2639.04, 557.11) to (2657.51, 563.77)
(NOT | (2739.6, 557.35) to (2754.06, 564.01)
FOR | (2755.68, 557.35) to (2768.16, 564.01)
MOTOR) | (2769.84, 557.35) to (2793.67, 564.01)
AIR | (2485.44, 567.15) to (2495.28, 575.09)
LINE | (2496.72, 567.15) to (2509.59, 575.09)
AIR | (2620.08, 565.75) to (2630.16, 572.41)
FAILURE | (2631.84, 565.75) to (2656.71, 572.41)
CLOSE | (2658.48, 565.75) to (2678.55, 572.41)
XS | (2712.72, 567.19) to (2720.79, 573.85)
-LIMIT | (2735.52, 568.39) to (2752.86, 575.05)
SWITCH | (2754.72, 568.39) to (2778.72, 575.05)
INSTRUMENT | (2485.44, 579.87) to (2523.42, 587.81)
AO/AFS | (2577.36, 576.31) to (2599.11, 582.97)
-AIR | (2615.52, 576.31) to (2627.52, 582.97)
TO | (2629.2, 576.31) to (2637.45, 582.97)
OPEN/AIR | (2639.04, 576.31) to (2667.6, 582.97)
ZV | (2712.72, 577.03) to (2720.55, 583.69)
-SAFETY | (2735.52, 578.23) to (2756.79, 584.89)
SHUTDOWN | (2758.08, 578.23) to (2787.3, 584.89)
VALVE | (2788.56, 578.23) to (2804.55, 584.89)
FAILURE | (2620.08, 584.95) to (2645.19, 591.61)
STEADY | (2646.72, 584.95) to (2670.63, 591.61)
ELECTRICAL | (2485.44, 589.71) to (2521.17, 597.65)
LINE | (2522.64, 589.71) to (2535.51, 597.65)
AOV | (2576.88, 596.23) to (2589.51, 602.89)
-AIR | (2599.68, 596.47) to (2611.05, 603.13)
OPERATED | (2612.64, 596.47) to (2643.45, 603.13)
VALVE | (2645.28, 596.47) to (2663.31, 603.13)
DATA | (2749.68, 594.0) to (2761.22, 600.45)
LOGGER | (2762.4, 594.0) to (2780.66, 600.45)
POINT | (2781.84, 594.0) to (2794.82, 600.45)
REDUCER | (2488.32, 623.79) to (2516.88, 631.73)
A | (2576.64, 606.79) to (2580.63, 613.45)
EDTT | (2576.64, 606.79) to (2584.38, 633.37)
SD | (2580.72, 626.71) to (2589.12, 633.37)
-- | (2599.44, 606.79) to (2601.25, 633.37)
- | (2599.44, 616.87) to (2601.25, 623.53)
EA | (2601.12, 606.79) to (2604.75, 633.37)
D | (2601.36, 616.87) to (2605.29, 623.53)
MN | (2604.48, 606.79) to (2609.01, 633.37)
EA | (2605.44, 606.79) to (2612.19, 623.53)
EN | (2608.8, 616.87) to (2613.21, 633.37)
RL | (2612.16, 606.79) to (2616.09, 633.37)
SY | (2613.36, 606.79) to (2618.91, 623.53)
.I | (2616.0, 616.87) to (2618.71, 633.37)
TZ | (2618.64, 606.79) to (2622.2, 623.53)
SYE | (2618.88, 606.79) to (2625.87, 633.37)
HR | (2622.24, 606.79) to (2629.77, 633.37)
UT | (2626.08, 616.87) to (2630.84, 633.37)
TRT | (2629.92, 606.79) to (2634.81, 633.37)
DR | (2633.04, 606.79) to (2638.65, 633.37)
A | (2634.96, 616.87) to (2638.59, 623.53)
OA | (2636.88, 606.79) to (2642.19, 633.37)
N | (2638.8, 616.87) to (2642.73, 623.53)
WN | (2640.96, 606.79) to (2646.09, 633.37)
S | (2642.88, 616.87) to (2646.51, 623.53)
NS | (2645.76, 606.79) to (2649.69, 633.37)
M | (2646.48, 616.87) to (2651.01, 623.53)
M | (2649.6, 606.79) to (2654.13, 613.45)
SITI | (2651.04, 606.79) to (2656.04, 633.37)
YT | (2654.4, 606.79) to (2658.92, 633.37)
T | (2656.08, 616.87) to (2659.4, 623.53)
ST | (2657.76, 606.79) to (2662.28, 633.37)
E | (2659.44, 616.87) to (2663.07, 623.53)
TE | (2661.36, 606.79) to (2665.95, 633.37)
R | (2663.28, 616.87) to (2667.21, 623.53)
ER | (2664.48, 606.79) to (2669.85, 633.37)
M | (2667.84, 626.71) to (2672.37, 633.37)
F | (2750.16, 602.88) to (2752.82, 609.33)
L | (2750.16, 612.0) to (2752.58, 618.45)
X-- | (2750.16, 602.88) to (2754.25, 627.57)
-LF | (2753.04, 602.88) to (2756.9, 627.57)
MEL | (2754.48, 602.88) to (2759.3, 627.57)
ISO | (2758.08, 602.88) to (2762.67, 627.57)
V | (2759.28, 612.0) to (2762.18, 618.45)
CEW | (2762.16, 602.88) to (2766.51, 627.57)
L | (2765.04, 612.0) to (2767.46, 618.45)
. | (2765.28, 621.12) to (2766.49, 627.57)
AP | (2778.48, 602.88) to (2782.58, 627.33)
T | (2779.68, 612.0) to (2782.34, 618.45)
--- | (2781.36, 602.88) to (2784.01, 627.33)
ATP | (2782.8, 602.88) to (2786.9, 627.33)
LER | (2785.68, 602.88) to (2790.02, 627.33)
AME | (2788.08, 602.88) to (2792.9, 627.33)
RPS | (2790.96, 602.88) to (2795.78, 627.33)
M.S. | (2794.08, 602.88) to (2799.85, 627.33)
ITS | (2822.16, 605.01) to (2828.61, 620.88)
PU | (2822.17, 610.53) to (2828.61, 616.56)
N | (2822.17, 616.53) to (2828.61, 619.68)
SPECTACLE | (2488.32, 642.27) to (2522.79, 650.21)
FC | (2576.64, 636.55) to (2584.8, 643.21)
-FLOW | (2599.68, 636.55) to (2619.45, 643.21)
CONTROLLER | (2621.28, 636.55) to (2659.77, 643.21)
MLO | (2750.16, 632.4) to (2756.85, 646.77)
OC | (2754.24, 632.4) to (2760.41, 646.77)
UA | (2758.08, 632.4) to (2763.75, 646.77)
NL | (2761.68, 632.4) to (2766.56, 646.77)
T | (2765.28, 640.32) to (2768.27, 646.77)
P | (2767.92, 632.4) to (2771.19, 638.85)
EA | (2768.16, 632.4) to (2774.55, 646.77)
DN | (2771.52, 632.4) to (2777.94, 646.77)
INE | (2776.56, 632.4) to (2781.53, 646.77)
SL | (2781.36, 632.4) to (2784.63, 646.77)
TR. | (2784.72, 640.32) to (2792.56, 646.77)
.O | (2851.26, 634.4) to (2860.7, 645.84)
FV | (2576.64, 646.63) to (2584.47, 653.29)
-FLOW | (2599.44, 646.63) to (2617.29, 653.29)
CONTROL | (2619.12, 646.63) to (2646.62, 653.29)
VALVE | (2648.4, 646.63) to (2666.43, 653.29)
C | (2851.26, 645.9) to (2860.7, 653.76)
PLATE-OPEN | (2488.32, 652.11) to (2525.28, 660.05)
FCV | (2576.64, 656.47) to (2588.55, 663.13)
-FLOW | (2599.44, 656.47) to (2617.29, 663.13)
CONTROL | (2619.12, 656.47) to (2646.62, 663.13)
VALVE | (2648.4, 656.47) to (2666.43, 663.13)
M | (2851.27, 653.57) to (2860.7, 662.64)
BOARD | (2750.16, 660.96) to (2767.85, 667.41)
